Date,finbert_score,lm_score,CP,Returns,Signal_FinBERT,Signal_Dictionary,Strat_FinBERT,Strat_Dictionary,Cum_BuyHold,Cum_FinBERT,Cum_Dictionary,Strat_Combined
2023-02-16,-0.004867055199363015,0.009812409812409812,4090.4099999999994,-0.013884644172642398,1,-1,-0.013884644172642398,0.013884644172642398,1.0390421943922528,1.072305132932702,0.005957682655331933,-0.013884644172642398
2023-02-17,-0.375767287086038,-0.019862490450725745,4079.09,-0.0027712852059046393,-1,1,0.0027712852059046393,-0.0027712852059046393,1.036270909186348,1.0750764181386068,0.003186397449427294,-0.0016603107920614682
2023-02-21,-0.5366700637340546,-0.062063936063936065,3997.34,-0.020244784414123935,-1,-1,0.020244784414123935,0.020244784414123935,1.016026124772224,1.0953212025527308,0.02343118186355123,-0.01201465553691506
2023-02-22,-0.051941290497779846,0.0006302521008403367,3991.05,-0.0015747857327715093,-1,-1,0.0015747857327715093,0.0015747857327715093,1.0144513390394525,1.0968959882855023,0.025005967596322738,-0.0009440773557136675
2023-02-23,-0.00952770159794734,-8.96539358077832e-05,4012.32,0.005315273460274993,-1,1,-0.005315273460274993,0.005315273460274993,1.0197666124997276,1.0915807148252272,0.030321241056597732,0.003198185540417364
2023-02-24,-0.364594492316246,-0.014523809523809526,3970.04,-0.010593457421727142,-1,-1,0.010593457421727142,0.010593457421727142,1.0091731550780003,1.1021741722469545,0.04091469847832487,-0.006320011405678885
2023-02-27,0.14949436485767365,-0.032972582972582966,3982.24,0.0030683048311681872,-1,-1,-0.0030683048311681872,-0.0030683048311681872,1.0122414599091685,1.0991058674157863,0.03784639364715668,0.001843991839860329
2023-02-28,-0.14699461204665049,0.004984301412872842,3970.15,-0.0030405976856194583,1,-1,-0.0030405976856194583,0.0030405976856194583,1.009200862223549,1.096065269730167,0.04088699133277614,-0.0030405976856194583
2023-03-01,-0.35373744510468985,-0.03932350718065004,3951.3900000000003,-0.004736461615270268,-1,1,0.004736461615270268,-0.004736461615270268,1.0044644006082788,1.1008017313454372,0.03615052971750587,-0.0028346844640710703
2023-03-02,0.13680175122092753,0.027984270631329453,3981.35,0.007553542016924832,-1,-1,-0.007553542016924832,-0.007553542016924832,1.0120179426252036,1.0932481893285124,0.028596987700581035,0.004550327978878697
2023-03-03,-0.14296614792611864,-0.018209876543209873,4045.6400000000003,0.016018800257414187,1,1,0.016018800257414187,0.016018800257414187,1.0280367428826178,1.1092669895859266,0.04461578795799522,0.016018800257414187
2023-03-06,0.05701629817485809,0.003137338851624565,4048.4200000000005,0.0006869235239955045,-1,-1,-0.0006869235239955045,-0.0006869235239955045,1.0287236664066133,1.1085800660619312,0.043928864433999716,0.0004123050693660372
2023-03-07,-0.2861027692755063,-0.0035663410663410665,3986.3700000000003,-0.015445639173959797,1,1,-0.015445639173959797,-0.015445639173959797,1.0132780272326536,1.0931344268879715,0.02848322526003992,-0.015445639173959797
2023-03-08,-0.1678217010838645,0.016357452071737784,3992.0099999999998,0.001413821086355386,-1,-1,-0.001413821086355386,-0.001413821086355386,1.014691848319009,1.091720605801616,0.027069404173684534,0.0008489319349135443
2023-03-09,-0.15131819725036622,0.006525252525252526,3918.32,-0.018631872945282364,-1,1,0.018631872945282364,-0.018631872945282364,0.9960599753737267,1.1103524787468984,0.00843753122840217,-0.011067208462574996
2023-03-10,-0.572664828861461,-0.07852474323062558,3861.59,-0.014583974750190179,-1,1,0.014583974750190179,-0.014583974750190179,0.9814760006235366,1.1249364534970885,-0.006146443521788008,-0.008681926087366449
2023-03-13,-0.33318050844328745,-0.03055555555555555,3855.76,-0.0015108816132590817,-1,-1,0.0015108816132590817,0.0015108816132590817,0.9799651190102775,1.1264473351103477,-0.004635561908528926,-0.0009057980422235714
